Instance,Nb_Clients,Nb_Vehicules_alloc,Vehicules_utilisés,Capacité,Coût_total_Z*,Coût_distance,Coût_véhicules,Coût_pénalité,Alpha,Beta,Statut
C1_10_1,1000,50,160,200.0,105016.5014,77207.5724,16000,11808.929,100,2,Heuristic

Véhicule,Route,Distance,Demande
72,0 -> 784 -> 708 -> 460 -> 852 -> 907 -> 429 -> 0,509.101,110.0
73,0 -> 181 -> 227 -> 383 -> 297 -> 0,528.8479,60.0
74,0 -> 890 -> 11 -> 546 -> 759 -> 468 -> 847 -> 0,511.6825,110.0
75,0 -> 937 -> 102 -> 934 -> 720 -> 126 -> 2 -> 53 -> 0,515.8159,130.0
76,0 -> 785 -> 132 -> 397 -> 0,553.3532,50.0
77,0 -> 999 -> 407 -> 138 -> 0,517.7082,50.0
78,0 -> 158 -> 626 -> 592 -> 817 -> 0,505.9369,60.0
79,0 -> 390 -> 352 -> 600 -> 870 -> 773 -> 389 -> 603 -> 0,489.201,190.0
80,0 -> 565 -> 983 -> 165 -> 128 -> 0,489.8738,60.0
81,0 -> 984 -> 682 -> 48 -> 935 -> 484 -> 434 -> 765 -> 0,562.1066,120.0
82,0 -> 922 -> 472 -> 393 -> 967 -> 474 -> 688 -> 315 -> 919 -> 0,497.3111,150.0
83,0 -> 33 -> 209 -> 709 -> 991 -> 372 -> 894 -> 672 -> 284 -> 0,560.1438,180.0
84,0 -> 244 -> 499 -> 169 -> 0,586.1584,70.0
85,0 -> 879 -> 200 -> 634 -> 624 -> 653 -> 517 -> 82 -> 0,578.6469,90.0
86,0 -> 694 -> 289 -> 770 -> 552 -> 0,587.1092,60.0
87,0 -> 208 -> 303 -> 671 -> 978 -> 134 -> 358 -> 0,520.3647,80.0
88,0 -> 616 -> 313 -> 481 -> 876 -> 114 -> 338 -> 895 -> 416 -> 0,484.5981,100.0
89,0 -> 570 -> 240 -> 865 -> 176 -> 0,596.2238,80.0
90,0 -> 285 -> 948 -> 400 -> 752 -> 269 -> 341 -> 606 -> 0,597.1639,110.0
91,0 -> 388 -> 760 -> 324 -> 618 -> 632 -> 192 -> 0,460.8139,120.0
92,0 -> 212 -> 421 -> 261 -> 589 -> 975 -> 0,574.1927,100.0
93,0 -> 425 -> 331 -> 124 -> 409 -> 0,612.3178,40.0
94,0 -> 476 -> 457 -> 598 -> 101 -> 453 -> 0,612.1159,60.0
95,0 -> 854 -> 7 -> 793 -> 0,600.9532,60.0
96,0 -> 571 -> 119 -> 728 -> 0,614.63,60.0
97,0 -> 707 -> 373 -> 692 -> 843 -> 942 -> 885 -> 507 -> 0,556.8203,110.0
98,0 -> 931 -> 173 -> 151 -> 259 -> 319 -> 145 -> 803 -> 874 -> 0,482.2502,150.0
99,0 -> 364 -> 91 -> 378 -> 522 -> 0,620.5792,70.0
100,0 -> 633 -> 357 -> 639 -> 88 -> 42 -> 0,621.3722,90.0
101,0 -> 487 -> 629 -> 829 -> 523 -> 427 -> 0,625.0017,90.0
102,0 -> 655 -> 976 -> 959 -> 841 -> 580 -> 304 -> 480 -> 684 -> 833 -> 56 -> 0,515.4423,180.0
103,0 -> 435 -> 255 -> 899 -> 112 -> 29 -> 757 -> 392 -> 860 -> 283 -> 221 -> 0,473.9615,160.0
104,0 -> 6 -> 268 -> 980 -> 574 -> 118 -> 897 -> 202 -> 547 -> 0,473.3334,160.0
105,0 -> 536 -> 121 -> 635 -> 247 -> 513 -> 0,634.2854,90.0
106,0 -> 789 -> 553 -> 974 -> 178 -> 237 -> 0,595.1115,80.0
107,0 -> 175 -> 84 -> 721 -> 253 -> 396 -> 733 -> 741 -> 0,524.2771,140.0
108,0 -> 54 -> 932 -> 868 -> 154 -> 370 -> 827 -> 171 -> 146 -> 0,603.1889,140.0
109,0 -> 167 -> 293 -> 602 -> 908 -> 595 -> 263 -> 0,508.4469,90.0
110,0 -> 896 -> 497 -> 795 -> 159 -> 374 -> 0,604.5013,100.0
111,0 -> 336 -> 867 -> 651 -> 296 -> 916 -> 73 -> 0,583.8961,120.0
112,0 -> 122 -> 834 -> 786 -> 65 -> 0,611.2602,50.0
113,0 -> 483 -> 26 -> 696 -> 205 -> 0,620.5931,70.0
114,0 -> 190 -> 842 -> 50 -> 953 -> 418 -> 0,569.719,90.0
115,0 -> 384 -> 432 -> 727 -> 414 -> 430 -> 802 -> 550 -> 525 -> 0,683.6168,160.0
116,0 -> 148 -> 557 -> 381 -> 271 -> 630 -> 80 -> 236 -> 264 -> 750 -> 642 -> 0,608.1216,170.0
117,0 -> 529 -> 300 -> 719 -> 740 -> 677 -> 665 -> 110 -> 668 -> 0,587.2335,130.0
118,0 -> 859 -> 607 -> 645 -> 889 -> 762 -> 601 -> 0,702.0258,120.0
119,0 -> 582 -> 479 -> 137 -> 998 -> 163 -> 730 -> 659 -> 691 -> 0,590.3909,150.0
120,0 -> 853 -> 334 -> 100 -> 135 -> 791 -> 0,689.5252,90.0
121,0 -> 473 -> 820 -> 502 -> 927 -> 509 -> 674 -> 0,571.7567,120.0
122,0 -> 231 -> 734 -> 228 -> 107 -> 162 -> 992 -> 273 -> 0,374.7074,140.0
123,0 -> 611 -> 940 -> 534 -> 738 -> 591 -> 141 -> 85 -> 554 -> 233 -> 650 -> 0,522.3492,170.0
124,0 -> 451 -> 267 -> 837 -> 104 -> 925 -> 526 -> 223 -> 24 -> 217 -> 0,504.6589,160.0
125,0 -> 380 -> 681 -> 170 -> 216 -> 349 -> 401 -> 579 -> 538 -> 0,623.7053,150.0
126,0 -> 35 -> 825 -> 531 -> 177 -> 195 -> 340 -> 0,599.1161,90.0
127,0 -> 76 -> 631 -> 467 -> 333 -> 838 -> 697 -> 814 -> 0,539.4188,140.0
128,0 -> 532 -> 777 -> 320 -> 360 -> 830 -> 872 -> 0,645.3958,130.0
129,0 -> 660 -> 3 -> 402 -> 779 -> 921 -> 989 -> 540 -> 0,538.9334,140.0
130,0 -> 652 -> 350 -> 882 -> 96 -> 275 -> 75 -> 713 -> 185 -> 0,580.3093,140.0
131,0 -> 382 -> 127 -> 475 -> 235 -> 459 -> 749 -> 0,563.0469,100.0
132,0 -> 386 -> 792 -> 901 -> 909 -> 37 -> 292 -> 746 -> 514 -> 0,533.6329,120.0
133,0 -> 184 -> 470 -> 93 -> 203 -> 716 -> 706 -> 875 -> 693 -> 232 -> 0,636.4706,140.0
134,0 -> 535 -> 226 -> 851 -> 944 -> 701 -> 436 -> 0,763.861,90.0
135,0 -> 764 -> 197 -> 683 -> 344 -> 799 -> 594 -> 503 -> 399 -> 98 -> 156 -> 0,596.2189,170.0
136,0 -> 492 -> 219 -> 729 -> 265 -> 666 -> 0,773.7616,110.0
137,0 -> 977 -> 74 -> 559 -> 465 -> 641 -> 662 -> 0,743.2162,100.0
138,0 -> 914 -> 743 -> 809 -> 993 -> 302 -> 568 -> 0,724.747,90.0
139,0 -> 957 -> 787 -> 551 -> 179 -> 622 -> 450 -> 587 -> 877 -> 290 -> 0,664.286,120.0
140,0 -> 960 -> 810 -> 620 -> 807 -> 314 -> 423 -> 717 -> 0,555.3363,150.0
141,0 -> 115 -> 962 -> 486 -> 512 -> 939 -> 123 -> 848 -> 647 -> 0,609.2093,160.0
142,0 -> 301 -> 564 -> 822 -> 596 -> 903 -> 805 -> 878 -> 234 -> 0,722.2275,160.0
143,0 -> 108 -> 182 -> 955 -> 14 -> 754 -> 700 -> 724 -> 379 -> 0,629.2425,140.0
144,0 -> 299 -> 449 -> 94 -> 832 -> 270 -> 447 -> 0,746.6702,140.0
145,0 -> 406 -> 222 -> 215 -> 196 -> 871 -> 83 -> 310 -> 0,773.8904,110.0
146,0 -> 982 -> 144 -> 111 -> 133 -> 913 -> 539 -> 891 -> 892 -> 0,571.5353,120.0
147,0 -> 722 -> 718 -> 326 -> 288 -> 835 -> 858 -> 361 -> 839 -> 994 -> 0,685.8617,130.0
148,0 -> 597 -> 210 -> 440 -> 187 -> 0,724.0389,110.0
149,0 -> 328 -> 92 -> 501 -> 846 -> 426 -> 201 -> 445 -> 454 -> 0,562.8596,140.0
150,0 -> 711 -> 403 -> 970 -> 413 -> 866 -> 887 -> 408 -> 690 -> 812 -> 614 -> 845 -> 0,650.0009,180.0
151,0 -> 95 -> 257 -> 966 -> 763 -> 113 -> 452 -> 448 -> 367 -> 347 -> 500 -> 0,693.2534,140.0
152,0 -> 482 -> 625 -> 990 -> 584 -> 60 -> 180 -> 19 -> 0,673.4357,100.0
153,0 -> 28 -> 775 -> 973 -> 188 -> 527 -> 245 -> 636 -> 147 -> 747 -> 0,575.8031,180.0
154,0 -> 139 -> 229 -> 769 -> 608 -> 0,831.3183,90.0
155,0 -> 164 -> 323 -> 242 -> 419 -> 318 -> 831 -> 961 -> 58 -> 753 -> 0,587.3891,170.0
156,0 -> 322 -> 675 -> 428 -> 869 -> 62 -> 0,852.6801,70.0
157,0 -> 194 -> 806 -> 710 -> 377 -> 995 -> 609 -> 469 -> 0,740.5966,150.0
158,0 -> 363 -> 797 -> 45 -> 68 -> 575 -> 295 -> 864 -> 790 -> 280 -> 43 -> 0,666.3363,160.0
159,0 -> 79 -> 664 -> 49 -> 489 -> 490 -> 16 -> 669 -> 731 -> 375 -> 387 -> 0,701.2021,180.0
