Instance,Nb_Clients,Nb_Vehicules_alloc,Vehicules_utilisés,Capacité,Coût_total_Z*,Coût_distance,Coût_véhicules,Coût_pénalité,Alpha,Beta,Statut
C1_10_1,1000,50,163,200.0,103375.8281,76322.0767,16300,10753.7514,100,2,Heuristic

Véhicule,Route,Distance,Demande
63,0 -> 529 -> 300 -> 719 -> 37 -> 292 -> 746 -> 514 -> 0,468.6686,110.0
64,0 -> 394 -> 441 -> 943 -> 723 -> 920 -> 821 -> 150 -> 433 -> 161 -> 0,360.7933,130.0
65,0 -> 613 -> 457 -> 598 -> 101 -> 453 -> 0,465.4041,80.0
66,0 -> 605 -> 578 -> 346 -> 443 -> 206 -> 342 -> 558 -> 549 -> 0,463.2638,130.0
67,0 -> 705 -> 627 -> 462 -> 698 -> 172 -> 569 -> 0,460.9307,120.0
68,0 -> 38 -> 262 -> 63 -> 369 -> 366 -> 929 -> 0,441.8981,90.0
69,0 -> 285 -> 4 -> 17 -> 9 -> 89 -> 18 -> 105 -> 97 -> 0,429.939,150.0
70,0 -> 985 -> 884 -> 478 -> 243 -> 12 -> 0,463.4026,160.0
71,0 -> 648 -> 949 -> 767 -> 214 -> 198 -> 64 -> 0,422.9723,110.0
72,0 -> 890 -> 11 -> 721 -> 253 -> 396 -> 733 -> 741 -> 0,473.9284,120.0
73,0 -> 362 -> 621 -> 537 -> 816 -> 412 -> 0,513.7535,100.0
74,0 -> 599 -> 755 -> 704 -> 99 -> 649 -> 556 -> 273 -> 717 -> 0,331.6771,160.0
75,0 -> 44 -> 938 -> 119 -> 728 -> 0,471.9818,60.0
76,0 -> 849 -> 788 -> 528 -> 494 -> 354 -> 555 -> 67 -> 685 -> 0,479.3463,110.0
77,0 -> 571 -> 22 -> 0,522.4039,40.0
78,0 -> 977 -> 316 -> 461 -> 560 -> 695 -> 0,537.9275,100.0
79,0 -> 784 -> 708 -> 460 -> 852 -> 773 -> 389 -> 603 -> 0,494.642,150.0
80,0 -> 941 -> 32 -> 324 -> 618 -> 632 -> 192 -> 0,439.0517,100.0
81,0 -> 879 -> 200 -> 634 -> 624 -> 517 -> 82 -> 0,542.233,80.0
82,0 -> 896 -> 497 -> 596 -> 653 -> 0,555.5919,60.0
83,0 -> 999 -> 407 -> 138 -> 0,517.7082,50.0
84,0 -> 655 -> 976 -> 458 -> 798 -> 591 -> 141 -> 330 -> 248 -> 826 -> 0,406.4287,130.0
85,0 -> 937 -> 34 -> 912 -> 61 -> 744 -> 911 -> 518 -> 946 -> 0,542.7047,120.0
86,0 -> 820 -> 502 -> 927 -> 509 -> 674 -> 0,570.9962,100.0
87,0 -> 984 -> 682 -> 48 -> 935 -> 484 -> 434 -> 765 -> 0,562.1066,120.0
88,0 -> 780 -> 437 -> 965 -> 204 -> 165 -> 128 -> 0,532.5507,100.0
89,0 -> 84 -> 602 -> 546 -> 759 -> 468 -> 847 -> 0,518.7546,110.0
90,0 -> 681 -> 948 -> 400 -> 752 -> 269 -> 341 -> 606 -> 0,568.8685,100.0
91,0 -> 390 -> 352 -> 600 -> 870 -> 953 -> 418 -> 0,447.4147,160.0
92,0 -> 3 -> 373 -> 692 -> 133 -> 913 -> 539 -> 891 -> 892 -> 0,508.6271,110.0
93,0 -> 33 -> 209 -> 709 -> 991 -> 372 -> 894 -> 672 -> 284 -> 0,560.1438,180.0
94,0 -> 694 -> 289 -> 770 -> 552 -> 0,587.1092,60.0
95,0 -> 208 -> 303 -> 671 -> 978 -> 134 -> 358 -> 0,520.3647,80.0
96,0 -> 301 -> 564 -> 795 -> 159 -> 374 -> 0,590.7952,110.0
97,0 -> 435 -> 255 -> 899 -> 423 -> 85 -> 554 -> 233 -> 650 -> 0,461.1181,140.0
98,0 -> 611 -> 620 -> 959 -> 841 -> 580 -> 304 -> 480 -> 684 -> 833 -> 56 -> 0,514.7531,170.0
99,0 -> 616 -> 313 -> 481 -> 876 -> 114 -> 338 -> 895 -> 416 -> 0,484.5981,100.0
100,0 -> 570 -> 240 -> 865 -> 176 -> 0,596.2238,80.0
101,0 -> 106 -> 81 -> 385 -> 974 -> 178 -> 237 -> 0,597.0582,120.0
102,0 -> 181 -> 958 -> 142 -> 516 -> 431 -> 0,599.0938,90.0
103,0 -> 351 -> 822 -> 903 -> 805 -> 878 -> 234 -> 0,586.6968,120.0
104,0 -> 834 -> 786 -> 65 -> 0,604.3738,30.0
105,0 -> 922 -> 736 -> 102 -> 934 -> 720 -> 126 -> 2 -> 53 -> 0,521.3016,170.0
106,0 -> 212 -> 421 -> 261 -> 589 -> 975 -> 0,574.1927,100.0
107,0 -> 425 -> 331 -> 124 -> 409 -> 0,612.3178,40.0
108,0 -> 364 -> 91 -> 378 -> 522 -> 0,620.5792,70.0
109,0 -> 633 -> 357 -> 639 -> 88 -> 42 -> 0,621.3722,90.0
110,0 -> 902 -> 543 -> 778 -> 129 -> 491 -> 274 -> 0,438.9412,130.0
111,0 -> 487 -> 629 -> 829 -> 523 -> 427 -> 0,625.0017,90.0
112,0 -> 382 -> 127 -> 475 -> 235 -> 907 -> 429 -> 0,557.7425,100.0
113,0 -> 309 -> 466 -> 756 -> 241 -> 917 -> 0,637.1678,100.0
114,0 -> 6 -> 268 -> 980 -> 574 -> 118 -> 897 -> 202 -> 547 -> 0,473.3334,160.0
115,0 -> 960 -> 810 -> 51 -> 117 -> 768 -> 657 -> 392 -> 283 -> 0,580.2419,110.0
116,0 -> 536 -> 121 -> 635 -> 247 -> 513 -> 0,634.2854,90.0
117,0 -> 54 -> 932 -> 868 -> 154 -> 370 -> 827 -> 171 -> 146 -> 0,603.1889,140.0
118,0 -> 914 -> 743 -> 7 -> 397 -> 0,671.3099,70.0
119,0 -> 336 -> 867 -> 651 -> 296 -> 916 -> 73 -> 0,583.8961,120.0
120,0 -> 483 -> 26 -> 696 -> 205 -> 0,620.5931,70.0
121,0 -> 789 -> 553 -> 170 -> 216 -> 349 -> 75 -> 713 -> 185 -> 0,609.9119,120.0
122,0 -> 384 -> 432 -> 727 -> 414 -> 430 -> 802 -> 550 -> 525 -> 0,683.6168,160.0
123,0 -> 95 -> 557 -> 381 -> 271 -> 630 -> 80 -> 236 -> 264 -> 750 -> 642 -> 0,607.9779,170.0
124,0 -> 982 -> 707 -> 779 -> 908 -> 595 -> 989 -> 540 -> 0,597.6107,100.0
125,0 -> 859 -> 607 -> 645 -> 889 -> 762 -> 601 -> 0,702.0258,120.0
126,0 -> 582 -> 479 -> 137 -> 998 -> 163 -> 730 -> 659 -> 691 -> 0,590.3909,150.0
127,0 -> 854 -> 70 -> 10 -> 793 -> 0,704.7833,60.0
128,0 -> 415 -> 777 -> 320 -> 360 -> 830 -> 872 -> 0,636.9431,140.0
129,0 -> 853 -> 334 -> 100 -> 135 -> 791 -> 0,689.5252,90.0
130,0 -> 451 -> 267 -> 837 -> 104 -> 925 -> 526 -> 223 -> 24 -> 217 -> 0,504.6589,160.0
131,0 -> 652 -> 823 -> 103 -> 972 -> 422 -> 160 -> 0,545.2618,110.0
132,0 -> 76 -> 631 -> 467 -> 333 -> 319 -> 145 -> 803 -> 874 -> 0,519.4192,120.0
133,0 -> 35 -> 825 -> 531 -> 177 -> 195 -> 340 -> 0,599.1161,90.0
134,0 -> 175 -> 144 -> 111 -> 179 -> 622 -> 450 -> 877 -> 290 -> 0,577.8545,140.0
135,0 -> 957 -> 787 -> 551 -> 318 -> 831 -> 961 -> 587 -> 58 -> 753 -> 0,656.2247,140.0
136,0 -> 115 -> 962 -> 486 -> 512 -> 939 -> 123 -> 848 -> 647 -> 0,609.2093,160.0
137,0 -> 164 -> 323 -> 242 -> 419 -> 843 -> 942 -> 885 -> 507 -> 0,570.5479,160.0
138,0 -> 386 -> 792 -> 901 -> 909 -> 259 -> 838 -> 697 -> 814 -> 0,489.7993,160.0
139,0 -> 981 -> 350 -> 882 -> 96 -> 275 -> 401 -> 579 -> 538 -> 0,629.9599,190.0
140,0 -> 184 -> 470 -> 93 -> 203 -> 716 -> 706 -> 875 -> 693 -> 232 -> 0,636.4706,140.0
141,0 -> 535 -> 226 -> 851 -> 944 -> 701 -> 436 -> 0,763.861,90.0
142,0 -> 764 -> 197 -> 683 -> 344 -> 799 -> 594 -> 503 -> 399 -> 98 -> 156 -> 0,596.2189,170.0
143,0 -> 785 -> 132 -> 809 -> 993 -> 302 -> 568 -> 0,682.0505,100.0
144,0 -> 931 -> 173 -> 151 -> 740 -> 677 -> 921 -> 665 -> 110 -> 668 -> 0,591.7074,180.0
145,0 -> 492 -> 219 -> 729 -> 265 -> 666 -> 0,773.7616,110.0
146,0 -> 322 -> 74 -> 559 -> 465 -> 641 -> 662 -> 0,749.9509,90.0
147,0 -> 190 -> 842 -> 50 -> 459 -> 749 -> 0,563.5157,80.0
148,0 -> 108 -> 182 -> 955 -> 14 -> 754 -> 700 -> 724 -> 379 -> 0,629.2425,140.0
149,0 -> 299 -> 449 -> 94 -> 832 -> 270 -> 447 -> 0,746.6702,140.0
150,0 -> 406 -> 222 -> 215 -> 196 -> 871 -> 83 -> 310 -> 0,773.8904,110.0
151,0 -> 532 -> 257 -> 966 -> 763 -> 113 -> 452 -> 448 -> 367 -> 347 -> 500 -> 0,680.4118,140.0
152,0 -> 722 -> 718 -> 326 -> 288 -> 835 -> 858 -> 361 -> 839 -> 994 -> 0,685.8617,130.0
153,0 -> 328 -> 92 -> 501 -> 846 -> 426 -> 201 -> 445 -> 454 -> 0,562.8596,140.0
154,0 -> 711 -> 403 -> 970 -> 413 -> 866 -> 887 -> 408 -> 690 -> 812 -> 614 -> 845 -> 0,650.0009,180.0
155,0 -> 482 -> 625 -> 990 -> 584 -> 60 -> 180 -> 19 -> 0,673.4357,100.0
156,0 -> 28 -> 775 -> 973 -> 188 -> 527 -> 245 -> 636 -> 147 -> 747 -> 0,575.8031,180.0
157,0 -> 139 -> 229 -> 769 -> 608 -> 0,831.3183,90.0
158,0 -> 476 -> 210 -> 440 -> 187 -> 0,774.4283,90.0
159,0 -> 194 -> 806 -> 710 -> 377 -> 995 -> 609 -> 469 -> 0,740.5966,150.0
160,0 -> 244 -> 675 -> 428 -> 869 -> 62 -> 0,857.6943,70.0
161,0 -> 363 -> 797 -> 45 -> 68 -> 575 -> 295 -> 864 -> 790 -> 280 -> 43 -> 0,666.3363,160.0
162,0 -> 79 -> 664 -> 49 -> 489 -> 490 -> 16 -> 669 -> 731 -> 375 -> 387 -> 0,701.2021,180.0
